"M_Topic","L_Topic","year","mean","sd","N","norm","allwords"
"M_Topic0","L_Topic1",1960,0.006139705,0.012700035,451,1,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1961,0.004563437,0.009313249,492,0.743266497,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1962,0.005174739,0.010629497,465,0.842831918,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1963,0.00584053,0.011803036,477,0.951272154,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1964,0.005857412,0.011299462,518,0.95402173,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1965,0.004821609,0.009224148,524,0.785316011,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1966,0.004641784,0.00912478,547,0.756027147,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1967,0.004853224,0.010032409,545,0.790465273,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1968,0.005769033,0.01557728,499,0.939627151,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1969,0.004338557,0.009648174,479,0.706639338,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1970,0.004026081,0.009899131,414,0.655745003,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1971,0.00406749,0.010612446,445,0.662489466,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1972,0.00390145,0.009529221,421,0.635445907,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1973,0.003650711,0.008713893,390,0.594606925,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1974,0.003764378,0.009285009,369,0.613120301,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1975,0.003598047,0.007072929,399,0.586029252,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1976,0.004241253,0.009482663,350,0.69079102,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1977,0.003665899,0.008343815,319,0.597080624,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1978,0.005012368,0.011819452,314,0.816385789,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1979,0.005174641,0.01068771,343,0.842815896,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1980,0.005496596,0.012365507,327,0.895254137,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1981,0.004779249,0.010031901,279,0.778416723,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1982,0.004208016,0.009395559,317,0.68537758,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1983,0.004999093,0.014094947,321,0.814223711,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1984,0.005662389,0.011615916,287,0.922257503,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1985,0.003220958,0.006602117,291,0.524611216,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1986,0.003896102,0.008802001,300,0.634574798,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1987,0.003407467,0.008194421,283,0.554988704,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1988,0.00442818,0.009574568,287,0.721236545,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1989,0.004357195,0.008838646,284,0.709675056,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1990,0.0055624,0.01144266,262,0.905971912,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1991,0.003865589,0.007294747,247,0.629605051,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
